Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-11-27,1.0011053614,1.0010948456,1.0028355311,1.0000016264
USDC,2020-11-28,1.0005055373,1.0008596002,1.001583722,1.0000583506
USDC,2020-11-29,0.9999643165,1.0003486609,1.0011795838,0.9997788606
USDC,2020-11-30,0.9993683629,1.0000732885,1.001391765,0.998932359
USDC,2020-12-01,1.0006758704,0.9989044158,1.0026362063,0.9983074058
USDC,2020-12-02,1.000234971,1.000809058,1.0014983204,0.9998555337
USDC,2020-12-03,1.0000771606,0.9999760466,1.0015843891,0.9996133232
USDC,2020-12-04,1.0004567529,0.9999132428,1.0011356035,0.9984420913
USDC,2020-12-05,1.0002163121,1.0003535039,1.0013660777,0.9990874127
USDC,2020-12-06,1.0001254443,1.0001701889,1.0008353327,0.9996907644
USDC,2020-12-07,1.0001686364,1.0000878909,1.0019462929,0.999023093
USDC,2020-12-08,0.9999004089,0.9999829101,1.0012144498,0.9993210992
USDC,2020-12-09,1.0002434091,0.9999098052,1.0014060418,0.9995327374
USDC,2020-12-10,1.0002582244,1.0003646406,1.0012947285,0.9987509701
USDC,2020-12-11,1.0003415814,1.000312992,1.0018610522,0.9993273025
USDC,2020-12-12,1.0003824655,1.0002189098,1.000867208,0.9996638376
USDC,2020-12-13,0.9997669763,1.0002908346,1.0007062505,0.9985375437
USDC,2020-12-14,1.0001373928,0.9997416069,1.000921438,0.9990824527
USDC,2020-12-15,1.0001119248,0.999706773,1.0009944822,0.9991744493
USDC,2020-12-16,0.9994385942,0.9997996682,1.0018187985,0.9985913856
USDC,2020-12-17,0.9995650415,0.9998483907,1.0003977479,0.9975506834
USDC,2020-12-18,0.9995802107,0.999748878,1.0002323386,0.9988204274
USDC,2020-12-19,0.9987846657,0.9995497701,1.0006222116,0.9984329673
USDC,2020-12-20,0.9988355191,0.9990167433,0.9999355938,0.9982228702
USDC,2020-12-21,0.999716824,0.9994214185,1.0018202234,0.9979317823
USDC,2020-12-22,0.9997200099,0.9999560971,1.0017318614,0.9996185319
USDC,2020-12-23,1.0006370719,0.9987331775,1.0017923702,0.998687822
USDC,2020-12-24,1.0002282905,0.9998615349,1.0009905456,0.9995369884
USDC,2020-12-25,0.9997620379,1.0003506936,1.0009758494,0.9992896978
USDC,2020-12-26,0.9992399831,1.0004640241,1.000521924,0.9984238041
USDC,2020-12-27,0.9979640065,0.9987342845,1.000463281,0.9967692929
USDC,2020-12-28,1.0002921121,0.999011864,1.0011551805,0.9971625956
USDC,2020-12-29,0.9993447332,1.0000527975,1.0011583618,0.99892402
USDC,2020-12-30,1.0000349492,0.9993523625,1.0013830727,0.9986596852
USDC,2020-12-31,0.9990621104,1.0000203899,1.000972707,0.9989154534
USDC,2021-01-01,0.9981636895,0.998915353,0.9993724691,0.996661794
USDC,2021-01-02,0.9964216003,0.9984974716,0.9994767497,0.9871455845
